商品ID,商品名,種類ID,種類名
157049133,"毎日一枚 原画（はがきサイズ）｜どすこいあんね（2026/06/04）",,
155957689,"毎日一枚 900日記念原画｜B5・一点もの",,
157049134,"毎日一枚 原画（はがきサイズ）｜ぎゅってする（2026/06/05）",,
157049135,"毎日一枚 原画（はがきサイズ）｜リーリーと（2026/06/06）",,
157049136,"毎日一枚 原画（はがきサイズ）｜オロチと（2026/06/07）",,
157049137,"毎日一枚 原画（はがきサイズ）｜ミタマと（2026/06/08）",,
157049138,"毎日一枚 原画（はがきサイズ）｜ヤーマと（2026/06/09）",,
157049140,"毎日一枚 原画（はがきサイズ）｜ナルカミと（2026/06/10）",,
157049141,"毎日一枚 原画（はがきサイズ）｜ルナと（2026/06/11）",,
157049142,"毎日一枚 原画（はがきサイズ）｜ヒマワリの種ひとつ（2026/06/12）",,
157049144,"毎日一枚 原画（はがきサイズ）｜ぶらさがリーリー（2026/06/13）",,
157049145,"毎日一枚 原画（はがきサイズ）｜お水あげるの（2026/06/14）",,
157049147,"毎日一枚 原画（はがきサイズ）｜お花が咲いた（2026/06/15）",,
157049148,"毎日一枚 原画（はがきサイズ）｜ふかふかなふたり（2026/06/16）",,
157049149,"毎日一枚 原画（はがきサイズ）｜げっとした！（2026/06/17）",,
157049150,"毎日一枚 原画（はがきサイズ）｜楽しいのかな？（2026/06/19）",,
157049152,"毎日一枚 原画（はがきサイズ）｜にんケットにて（2026/06/20）",,
157049153,"毎日一枚 原画（はがきサイズ）｜キラキラリーリー（2026/06/21）",,
157049156,"毎日一枚 原画（はがきサイズ）｜未来へ（2026/06/22）",,
157049157,"毎日一枚 原画（はがきサイズ）｜ほわぁ～（2026/06/23）",,
157049158,"毎日一枚 原画（はがきサイズ）｜ISAQとこはく（2026/06/24）",,
157049159,"毎日一枚 原画（はがきサイズ）｜スイカバー！（2026/06/25）",,
157049160,"毎日一枚 原画（はがきサイズ）｜ワクワクの顔（2026/06/26）",,
157049162,"毎日一枚 原画（はがきサイズ）｜ハートを追いかけて（2026/06/28）",,
